,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
749,500108089,YouBike2.0_康湖二號公園(康寧醫院),16,3,內湖區,2023-05-27 13:40:21,成功路五段420巷17號東側,11,1
750,500108090,YouBike2.0_堤頂大道新湖一路口,13,0,內湖區,2023-05-27 12:07:04,堤頂大道一段215號前,12,1
752,500108092,YouBike2.0_舊宗行善路口,9,1,內湖區,2023-05-27 13:04:17,行善路179號西側,8,1
755,500108095,YouBike2.0_金湖星雲街口,30,0,內湖區,2023-05-27 13:17:22,金湖路83號對側,30,1
756,500108096,YouBike2.0_國防醫學院,15,3,內湖區,2023-05-27 12:36:15,民權東路六段161號前側,12,1
761,500108102,YouBike2.0_行善行愛路口,12,0,內湖區,2023-05-27 11:35:05,行善路243號(前),12,1
763,500108104,YouBike2.0_統振大樓,25,1,內湖區,2023-05-27 09:56:04,安美街181號前,24,1
765,500108106,YouBike2.0_潭美公園(南京東路六段368巷),18,3,內湖區,2023-05-27 13:24:14,南京東路六段366號對側,14,1
768,500108109,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-05-27 08:01:04,瑞光路102號前,11,1
770,500108111,YouBike2.0_新湖國小,12,2,內湖區,2023-05-27 11:43:15,民權東路六段/成功路二段320巷31弄(東南側),10,1
771,500108112,YouBike2.0_碧山內湖路口,16,2,內湖區,2023-05-27 13:45:16,內湖路三段72巷15號西側,14,1
